FlightIndex,FlightNumber,IsDeparting,Destination,Origin,ArrivalTime,OffTime,ArrivalTimeMinutes,OffTimeMinutes,ArrivalTimeActual,OffTimeActual,ArrivalTimeActualMinutes,OffTimeActualMinutes,Aircraft,FlightType,PassengersArr,PassengersDept,DepGate,ArrGate,SchedDepLocal,SchedArrLocal,OutGateLocal,InGateLocal,SchedDepUtc,SchedArrUtc,OutGateUtc,InGateUtc,TailNumber,num_connecting_pax
47,AA1121,Y,DCA,DFW,1548,1645,948,1005,1533,1641,933.0,1001.0,2.0,Domestic,0,102,A36,,2016-05-02 16:45:00,2016-05-02 20:39:00,2016-05-02 16:41:00,,1305,39,2016-05-02 21:41,,N956NN,48
48,AA1126,N,DFW,SMF,1235,1410,755,850,1311,1417,791.0,857.0,2.0,,22,0,,A21,2016-05-02 07:10:00,2016-05-02 12:35:00,2016-05-02 08:08:00,2016-05-02 13:11:00,850,1055,2016-05-02 15:08,2016-05-02 18:11,N973AN,128
49,AA1129,Y,IND,DFW,1115,1215,675,735,1057,1209,657.0,729.0,2.0,Domestic,0,88,C20,,2016-05-02 12:15:00,2016-05-02 15:23:00,2016-05-02 12:09:00,2016-05-02 15:07:00,1035,1163,2016-05-02 17:09,2016-05-02 19:07,N485AA,62
50,AA1129,N,DFW,IND,1735,1855,1055,1135,1728,1848,1048.0,1128.0,2.0,Domestic,75,0,,C10,2016-05-02 16:10:00,2016-05-02 17:35:00,2016-05-02 16:01:00,2016-05-02 17:28:00,1210,1355,2016-05-02 20:01,2016-05-02 22:28,N485AA,75
51,AA1131,N,DFW,LGA,1306,1355,786,835,1319,1406,799.0,846.0,2.0,,111,0,,A19,2016-05-02 09:57:00,2016-05-02 13:06:00,2016-05-02 09:46:00,2016-05-02 13:19:00,837,1086,2016-05-02 13:46,2016-05-02 18:19,N854NN,39
52,AA1135,N,DFW,DSM,0935,1050,575,650,0944,1047,584.0,647.0,2.0,,65,0,,C2,2016-05-02 07:28:00,2016-05-02 09:35:00,2016-05-02 07:19:00,2016-05-02 09:44:00,748,875,2016-05-02 12:19,2016-05-02 14:44,N9626F,85
53,AA1137,Y,MFE,DFW,1450,1535,890,935,1451,1530,891.0,930.0,2.0,Domestic,0,74,C33,,2016-05-02 15:35:00,2016-05-02 17:10:00,2016-05-02 15:30:00,2016-05-02 17:01:00,1235,1330,2016-05-02 20:30,2016-05-02 22:01,N424AA,76
54,AA1137,N,DFW,MFE,1930,2025,1170,1225,1915,2022,1155.0,1222.0,2.0,Domestic,75,0,,C28,2016-05-02 17:50:00,2016-05-02 19:30:00,2016-05-02 17:43:00,2016-05-02 19:15:00,1370,30,2016-05-02 22:43,2016-05-03 00:15,N424AA,75
55,AA1139,N,DFW,LGA,2057,2127,1257,1287,2101,2127,1261.0,1287.0,,,0,0,,A13,2016-05-02 17:50:00,2016-05-02 20:57:00,2016-05-02 17:56:00,2016-05-02 21:01:00,1310,117,2016-05-02 21:56,2016-05-03 02:01,N923AN,33
56,AA1140,N,DFW,LGA,2130,2220,1290,1340,2133,2219,1293.0,1339.0,2.0,,131,0,,A22,2016-05-02 18:22:00,2016-05-02 21:30:00,2016-05-02 18:30:00,2016-05-02 21:33:00,1342,150,2016-05-02 22:30,2016-05-03 02:33,N908NN,19
57,AA1141,N,DFW,LGA,1600,1630,960,990,1612,1630,972.0,990.0,2.0,,83,0,,A8,2016-05-02 12:59:00,2016-05-02 16:00:00,2016-05-02 12:56:00,2016-05-02 16:12:00,1019,1260,2016-05-02 16:56,2016-05-02 21:12,N920AN,67
58,AA1142,Y,ORD,DFW,1905,2010,1145,1210,1848,2003,1128.0,1203.0,2.0,Domestic,0,129,A20,,2016-05-02 20:10:00,2016-05-02 22:34:00,2016-05-02 20:03:00,2016-05-02 22:13:00,70,214,2016-05-03 01:03,2016-05-03 03:13,N837NN,21
59,AA1148,Y,LGA,DFW,1418,1520,858,920,1405,1516,845.0,916.0,2.0,Domestic,0,95,A33,,2016-05-02 15:20:00,2016-05-02 19:46:00,2016-05-02 15:16:00,2016-05-02 19:30:00,1220,1426,2016-05-02 20:16,2016-05-02 23:30,N953NN,55
