FlightIndex,FlightNumber,IsDeparting,Destination,Origin,ArrivalTime,OffTime,ArrivalTimeMinutes,OffTimeMinutes,ArrivalTimeActual,OffTimeActual,ArrivalTimeActualMinutes,OffTimeActualMinutes,Aircraft,FlightType,PassengersArr,PassengersDept,DepGate,ArrGate,SchedDepLocal,SchedArrLocal,OutGateLocal,InGateLocal,SchedDepUtc,SchedArrUtc,OutGateUtc,InGateUtc,TailNumber,num_connecting_pax
80,AA1191,Y,BNA,DFW,1055,1155,655,715,1053,1148,653.0,708.0,2.0,Domestic,0,70,A10,,2016-05-02 11:55:00,2016-05-02 13:45:00,2016-05-02 11:48:00,2016-05-02 13:25:00,1015,1125,2016-05-02 16:48,2016-05-02 18:25,N915NN,80
81,AA1192,Y,SLC,DFW,0909,1040,549,640,1003,1053,603.0,653.0,2.0,Domestic,0,45,C27,,2016-05-02 10:40:00,2016-05-02 12:30:00,2016-05-02 10:53:00,2016-05-02 12:34:00,940,1110,2016-05-02 15:53,2016-05-02 18:34,N9617R,105
82,AA1194,Y,SAN,DFW,1427,1545,867,945,1417,1539,857.0,939.0,2.0,Domestic,0,100,A25,,2016-05-02 15:45:00,2016-05-02 16:52:00,2016-05-02 15:39:00,2016-05-02 16:48:00,1245,1432,2016-05-02 20:39,2016-05-02 23:48,N146AA,50
83,AA1194,N,DFW,SAN,2249,2319,1369,1399,2222,2319,1342.0,1399.0,2.0,Domestic,150,0,,C6,2016-05-02 17:50:00,2016-05-02 22:49:00,2016-05-02 17:45:00,2016-05-02 22:22:00,50,229,2016-05-03 00:45,2016-05-03 03:22,N146AA,0
84,AA1196,Y,SAN,DFW,2110,2215,1270,1335,2106,2210,1266.0,1330.0,2.0,Domestic,0,79,A23,,2016-05-02 22:15:00,2016-05-02 23:21:00,2016-05-02 22:10:00,2016-05-02 23:20:00,195,381,2016-05-03 03:10,2016-05-03 06:20,N157AA,71
85,AA1196,N,DFW,EWR,2105,2215,1265,1335,2107,2210,1267.0,1330.0,2.0,Domestic,106,0,,C6,2016-05-02 18:00:00,2016-05-02 21:05:00,2016-05-02 17:58:00,2016-05-02 21:07:00,1320,125,2016-05-02 21:58,2016-05-03 02:07,N844NN,44
86,AA1198,Y,TPA,DFW,1250,1330,770,810,1246,1327,766.0,807.0,2.0,Domestic,0,75,C33,,2016-05-02 13:30:00,2016-05-02 16:52:00,2016-05-02 13:27:00,2016-05-02 16:49:00,1110,1252,2016-05-02 18:27,2016-05-02 20:49,N555AN,75
87,AA1201,Y,LGA,DFW,1058,1200,658,720,1029,1206,629.0,726.0,2.0,Domestic,0,64,A17,,2016-05-02 12:00:00,2016-05-02 16:27:00,2016-05-02 12:06:00,2016-05-02 16:25:00,1020,1227,2016-05-02 17:06,2016-05-02 20:25,N890NN,86
88,AA1201,N,DFW,FAT,1111,1200,671,720,1048,1154,648.0,714.0,2.0,Domestic,18,0,,C22,2016-05-02 05:55:00,2016-05-02 11:11:00,2016-05-02 05:48:00,2016-05-02 10:48:00,775,971,2016-05-02 12:48,2016-05-02 15:48,N967TW,132
89,AA1206,Y,MSP,DFW,1739,1850,1059,1130,1735,1853,1055.0,1133.0,2.0,Domestic,0,109,C21,,2016-05-02 18:50:00,2016-05-02 21:13:00,2016-05-02 18:53:00,2016-05-02 21:08:00,1430,133,2016-05-02 23:53,2016-05-03 02:08,N473AA,41
