FlightIndex,FlightNumber,IsDeparting,Destination,Origin,ArrivalTime,OffTime,ArrivalTimeMinutes,OffTimeMinutes,ArrivalTimeActual,OffTimeActual,ArrivalTimeActualMinutes,OffTimeActualMinutes,Aircraft,FlightType,PassengersArr,PassengersDept,DepGate,ArrGate,SchedDepLocal,SchedArrLocal,OutGateLocal,InGateLocal,SchedDepUtc,SchedArrUtc,OutGateUtc,InGateUtc,TailNumber,num_connecting_pax,OptDepGate,OptArrGate
978,AA372,N,DFW,DEN,1546,1655,946,1015,1517,1650,917.0,1010.0,2.0,,116,0,,C22,2016-05-02 12:40:00,2016-05-02 15:46:00,2016-05-02 12:35:00,2016-05-02 15:17:00,1120,1246,2016-05-02 18:35,2016-05-02 20:17,N7548A,34,,
979,AA375,N,DFW,DEN,801,855,481,535,808,853,488.0,533.0,2.0,,107,0,,A10,2016-05-02 05:00:00,2016-05-02 08:01:00,2016-05-02 04:53:00,2016-05-02 08:08:00,660,781,2016-05-02 10:53,2016-05-02 13:08,N985NN,43,,
980,AA378,N,DFW,MSY,935,1040,575,640,950,1043,590.0,643.0,2.0,,55,0,,C29,2016-05-02 07:49:00,2016-05-02 09:35:00,2016-05-02 07:48:00,2016-05-02 09:50:00,769,875,2016-05-02 12:48,2016-05-02 14:50,N438AA,95,,
981,AA37,Y,SFO,DFW,1530,1700,930,1020,1530,1655,930.0,1015.0,2.0,Domestic,0,107,A19,,2016-05-02 17:00:00,2016-05-02 18:52:00,2016-05-02 16:55:00,2016-05-02 18:40:00,1320,112,2016-05-02 21:55,2016-05-03 01:40,N972AN,43,,
982,AA384,Y,MCI,DFW,1343,1513,823,913,1343,1519,823.0,919.0,2.0,Domestic,0,105,C15,,2016-05-02 15:13:00,2016-05-02 16:47:00,2016-05-02 15:19:00,2016-05-02 16:45:00,1213,1307,2016-05-02 20:19,2016-05-02 21:45,N9622A,45,,
983,AA385,N,DFW,LAX,1443,1545,883,945,1422,1540,862.0,940.0,2.0,,109,0,,A23,2016-05-02 09:35:00,2016-05-02 14:43:00,2016-05-02 09:33:00,2016-05-02 14:22:00,995,1183,2016-05-02 16:33,2016-05-02 19:22,N129AA,41,,
984,AA386,Y,JAX,DFW,1428,1510,868,910,1421,1530,861.0,930.0,2.0,Domestic,0,75,C10,,2016-05-02 15:10:00,2016-05-02 18:30:00,2016-05-02 15:30:00,2016-05-02 18:34:00,1210,1350,2016-05-02 20:30,2016-05-02 22:34,N9618A,75,,
985,AA386,N,DFW,JAX,2100,2220,1260,1340,2053,2213,1253.0,1333.0,2.0,Domestic,108,0,,C12,2016-05-02 19:12:00,2016-05-02 21:00:00,2016-05-02 19:18:00,2016-05-02 20:53:00,1392,120,2016-05-02 23:18,2016-05-03 01:53,N9618A,42,,
986,AA389,Y,MEX,DFW,735,905,455,545,735,906,455.0,546.0,,,0,0,C11,,2016-05-02 09:05:00,2016-05-02 11:46:00,2016-05-02 09:06:00,2016-05-02 11:41:00,845,1006,2016-05-02 14:06,2016-05-02 16:41,N9012,0,,
987,AA391,Y,TUL,DFW,730,900,450,540,730,1111,450.0,671.0,2.0,Domestic,0,85,C33,,2016-05-02 09:00:00,2016-05-02 10:09:00,2016-05-02 11:11:00,2016-05-02 12:05:00,840,909,2016-05-02 16:11,2016-05-02 17:05,N9622A,65,,
988,AA391,N,DFW,TUL,1211,1241,731,761,1343,1519,823.0,919.0,2.0,Domestic,67,0,,C15,2016-05-02 10:55:00,2016-05-02 12:11:00,2016-05-02 12:45:00,2016-05-02 13:43:00,955,1031,2016-05-02 17:45,2016-05-02 18:43,N9622A,83,,
989,AA43,Y,DTW,DFW,943,1055,583,655,1002,1053,602.0,653.0,2.0,Domestic,0,106,A36,,2016-05-02 10:55:00,2016-05-02 14:37:00,2016-05-02 10:53:00,2016-05-02 14:11:00,955,1117,2016-05-02 15:53,2016-05-02 18:11,N987NN,44,,
990,AA43,N,DFW,DTW,1726,1835,1046,1115,1745,1835,1065.0,1115.0,2.0,Domestic,112,0,,A15,2016-05-02 15:25:00,2016-05-02 17:26:00,2016-05-02 15:34:00,2016-05-02 17:45:00,1165,1346,2016-05-02 19:34,2016-05-02 22:45,N987NN,38,,
991,AA464,N,DFW,PHX,204,234,124,154,144,234,104.0,154.0,,,0,0,,C35,2016-05-02 21:50:00,2016-05-03 02:04:00,2016-05-02 21:46:00,2016-05-03 01:44:00,290,424,2016-05-03 04:46,2016-05-03 06:44,N551UW,1,,
